Term	TermType	English	Turkish	Dutch	German	French	Italian	Portuguese	Spanish	Russian	Japanese	Korean
Activate	0	Activate	Aktifleştir	Activeren	Aktivieren	Activer	Attiva	Ativar	Activar	Активировать	アクティブにする	활성화
Activated	0	Activated	Aktifleştirildi	Geactiveerd	Aktiviert	Activé	Attivato	Ativado	Activado	Активировано	発動	활성화됨
Activity	0	Activity	Etkinlik	Activiteit	Aktivität	Activité	Attività	Atividade	Actividad	Активность	アクティビティ	활동
ActivityHigh	0	High	Yüksek	Hoog	Hoch	Élevé	Elevato	Alto	Alto	Высокий	高い	높음
ActivityLow	0	Low	Düşük	Laag	Niedrig	Faible	Basso	Baixo	Bajo	Низкий	低い	낮음
ActivityMedium	0	Medium	Orta	Medium	Mittel	Moyen	Medio	Médio	Medio	Средний	中程度	중간
Add	0	Add	Ekle	Toevoegen	Hinzufügen	Ajouter	Aggiungi	Adicionar	Añadir	Добавить	追加	추가
Amazing!	0	Amazing!	Harika!	Geweldig!	Erstaunlich!	Incroyable !	Sorprendente!	Incrível!	¡Increíble!	Удивительно!	すごい！	놀라워요!
AppleLoginResultPopupCancelInfo	0	Apple sign in cancelled!	Apple oturum açma işlemi iptal edildi!	Apple-aanmelding geannuleerd!	Apple-Anmeldung abgebrochen!	Connexion avec Apple annulée !	Accesso con Apple annullato!	Assinatura da Apple cancelada!	Inicio de sesión con Apple cancelado.	Вход через Apple отменён!	Appleサインインがキャンセルされました！	Apple 로그인이 취소되었습니다!
AppleLoginResultPopupFailInfo	0	Apple sign in failed!	Apple ile oturum açma başarısız oldu!	Apple-aanmelding mislukt!	Apple-Anmeldung fehlgeschlagen!	Échec de la connexion Apple !	Accesso con Apple non riuscito!	Falha ao iniciar sessão com a Apple!	¡Error en el inicio de sesión de Apple!	Вход через Apple не удался!	Appleサインインに失敗しました！	애플 로그인이 실패했습니다!
AppleLoginResultPopupSignOutInfo	0	Signed out from Apple!	Apple'dan çıkış yapıldı!	Uitgelogd van Apple!	Vom Apple-Account abgemeldet!	Déconnecté d'Apple !	Disconnesso da Apple!	Desconectado do Apple!	¡Cerraste sesión de Apple!	Выполнен выход из Apple!	Appleからサインアウトしました！	Apple에서 로그아웃되었습니다!
AppleLoginResultPopupSuccessInfo	0	Signed in with Apple!	Apple ile giriş yapıldı!	Aangemeld met Apple!	Mit Apple angemeldet!	Connecté avec Apple !	Accesso effettuato con Apple!	Conectado com a Apple!	¡Conectado con Apple!	Вход выполнен с помощью Apple!	Appleでサインインしました！	Apple로 로그인 완료!
AppleSignIn	0	Sign in with Apple	Apple ile giriş yap	Log in met Apple	Mit Apple anmelden	Se connecter avec Apple	Accedi con Apple	Iniciar sessão com Apple	Iniciar sesión con Apple	Войти с помощью Apple	Appleでサインイン	Apple로 로그인
AppleSignOutPopupInfo	0	Do you want to sign out from Apple?	Apple'dan çıkış yapmak istiyor musunuz?	Wilt u zich afmelden van Apple?	Möchten Sie sich von Apple abmelden?	Voulez-vous vous déconnecter d'Apple ?	Vuoi uscire da Apple?	Deseja sair da Apple?	¿Quieres cerrar sesión de Apple?	Вы хотите выйти из Apple?	Appleからサインアウトしますか？	Apple에서 로그아웃하시겠습니까?
AreYouSureLifeWarning	0	You will lose 1 life!	1 can kaybedeceksiniz!	Je verliest 1 leven!	Du wirst 1 Leben verlieren!	Vous allez perdre 1 vie !	Perderai 1 vita!	Você perderá 1 vida!	¡Perderás 1 vida!	Вы потеряете 1 жизнь!	1つライフを失います！	1개의 생명을 잃게 됩니다!
AreYouSureStreakWarning	0	You will lose your streak!	Serinizi kaybedeceksiniz!	Je verliest je reeks!	Sie werden Ihre Serie verlieren!	Vous allez perdre votre série !	Perderai la tua serie!	Você vai perder sua sequência!	¡Vas a perder tu racha!	Вы потеряете свою серию!	連勝が途切れてしまいます！	연속 기록이 사라집니다!
AreYouSureTitle	0	Are You Sure?	Emin misiniz?	Weet je het zeker?	Sind Sie sicher?	Êtes-vous sûr ?	Sei sicuro?	Tem Certeza?	¿Estás seguro?	Вы уверены?	本当に大丈夫ですか？	확실합니까?
AreYouSureTitleStuck	0	Are you sure?	Emin misiniz?	Weet je het zeker?	Bist du sicher?	Êtes-vous sûr ?	Sei sicuro?	Tem certeza?	¿Estás seguro?	Вы уверены?	本当によろしいですか？	확실합니까?
Ask	0	Ask	Sor	Vraag	Fragen	Demander	Chiedi	Perguntar	Pregunta	Спросить	尋ねる	물어보기
AskingForCard	0	asking for card!	kart istiyor!	vraagt om een kaart!	fragt nach einer karte!	demande une carte !	sta chiedendo una carta!	pedindo uma carta!	¡pidiendo una carta!	просит карту!	カードをお願いしています！	카드를 요청하고 있습니다!
AskingLives	0	asking for lives!	can istiyor!	vragen om levens!	nach Leben fragen!	demander des vies !	chiedere vite!	pedindo vidas!	¡pidiendo vidas!	просит жизни!	ライフを求む！	목숨 요청!
BonusChest	0	Bonus Chest	Bonus Sandığı	Bonuskist	Bonuskiste	Coffre Bonus	Forziere Bonus	Baú Bônus	Cofre de Bonificación	Бонусный Сундук	ボーナスチェスト	보너스 상자
BonusVault	0	Bonus Vault	Bonus Kasası	Bonus Kluis	Bonus Tresor	Coffre Bonus	Bonus Vault	Cofre de Bônus	Bóveda de Bonos	Бонусное Хранилище	ボーナス・ボールト	보너스 금고
Bottom	0	Bottom	Alt	Onderkant	Untere Seite	Bas	In basso	Inferior	Parte inferior	Низ	下部	하단
Brilliant!	0	Brilliant!	Muhteşem!	Briljant!	Brillant!	Brillant !	Brillante!	Brilhante!	¡Brillante!	Гениально!	素晴らしい！	브릴리언트!
