index	seed	set	setId	difficulty	variant
0				-1	-1
1	beko_beko219_difficulty5-4	beko	beko219	5	4
2	beko_beko219_difficulty5-5	beko	beko219	5	5
3	beko_beko219_difficulty6-1	beko	beko219	6	1
4	bfm_bfm229_difficulty6-10	bfm	bfm229	6	10
5	bfm_bfm229_difficulty6-7	bfm	bfm229	6	7
6	bfm_bfm229_difficulty7-6	bfm	bfm229	7	6
7	bfm_bfm229_difficulty7-8	bfm	bfm229	7	8
8	bfm_bfm229_difficulty7-9	bfm	bfm229	7	9
9	bfm_bfm235_difficulty5-8	bfm	bfm235	5	8
10	bfm_bfm235_difficulty6-6	bfm	bfm235	6	6
11	bfm_bfm235_difficulty6-7	bfm	bfm235	6	7
12	bfm_bfm235_difficulty7-10	bfm	bfm235	7	10
13	bfm_bfm235_difficulty7-9	bfm	bfm235	7	9
14	bfm_bfm236_difficulty3-1	bfm	bfm236	3	1
15	bfm_bfm236_difficulty4-2	bfm	bfm236	4	2
16	bfm_bfm236_difficulty4-3	bfm	bfm236	4	3
17	bfm_bfm236_difficulty4-4	bfm	bfm236	4	4
18	bfm_bfm236_difficulty4-5	bfm	bfm236	4	5
19	bfm_bfm239_difficulty4-1	bfm	bfm239	4	1
20	bfm_bfm239_difficulty4-2	bfm	bfm239	4	2
21	bfm_bfm239_difficulty4-3	bfm	bfm239	4	3
22	bfm_bfm239_difficulty4-4	bfm	bfm239	4	4
23	bfm_bfm239_difficulty4-5	bfm	bfm239	4	5
24	bfm_bfm241_difficulty5-1	bfm	bfm241	5	1
25	bfm_bfm241_difficulty5-2	bfm	bfm241	5	2
26	bfm_bfm241_difficulty5-3	bfm	bfm241	5	3
27	bfm_bfm241_difficulty5-4	bfm	bfm241	5	4
28	bfm_bfm241_difficulty5-5	bfm	bfm241	5	5
29	bfm_bfm247_difficulty1-1	bfm	bfm247	1	1
30	bfm_bfm247_difficulty1-2	bfm	bfm247	1	2
31	bfm_bfm247_difficulty1-3	bfm	bfm247	1	3
32	bfm_bfm247_difficulty1-4	bfm	bfm247	1	4
33	bfm_bfm247_difficulty1-5	bfm	bfm247	1	5
34	bfm_bfm248_difficulty4-1	bfm	bfm248	4	1
35	bfm_bfm248_difficulty4-2	bfm	bfm248	4	2
36	bfm_bfm248_difficulty4-3	bfm	bfm248	4	3
37	bfm_bfm248_difficulty4-4	bfm	bfm248	4	4
38	bfm_bfm252_difficulty5-1	bfm	bfm252	5	1
39	bfm_bfm252_difficulty5-2	bfm	bfm252	5	2
40	bfm_bfm252_difficulty5-3	bfm	bfm252	5	3
41	bfm_bfm252_difficulty5-4	bfm	bfm252	5	4
42	bfm_bfm254_difficulty3-2	bfm	bfm254	3	2
43	bfm_bfm254_difficulty3-3	bfm	bfm254	3	3
44	bfm_bfm254_difficulty4-1	bfm	bfm254	4	1
45	bfm_bfm254_difficulty4-4	bfm	bfm254	4	4
46	bfm_bfm254_difficulty4-5	bfm	bfm254	4	5
47	bfm_bfm256_difficulty1-1	bfm	bfm256	1	1
48	bfm_bfm256_difficulty1-2	bfm	bfm256	1	2
49	bfm_bfm256_difficulty1-3	bfm	bfm256	1	3
50	bfm_bfm256_difficulty1-4	bfm	bfm256	1	4
51	bfm_bfm256_difficulty1-5	bfm	bfm256	1	5
52	bfm_bfm262_difficulty6-1	bfm	bfm262	6	1
53	bfm_bfm262_difficulty6-2	bfm	bfm262	6	2
54	bfm_bfm262_difficulty6-4	bfm	bfm262	6	4
55	bfm_bfm262_difficulty6-5	bfm	bfm262	6	5
56	bfm_bfm262_difficulty7-3	bfm	bfm262	7	3
57	bfm_bfm265_difficulty5-1	bfm	bfm265	5	1
58	bfm_bfm265_difficulty5-2	bfm	bfm265	5	2
59	bfm_bfm265_difficulty5-3	bfm	bfm265	5	3
60	bfm_bfm265_difficulty5-4	bfm	bfm265	5	4
61	bfm_bfm265_difficulty5-5	bfm	bfm265	5	5
62	bfm_bfm272_difficulty3-1	bfm	bfm272	3	1
63	bfm_bfm272_difficulty3-2	bfm	bfm272	3	2
64	bfm_bfm272_difficulty3-4	bfm	bfm272	3	4
65	bfm_bfm272_difficulty4-3	bfm	bfm272	4	3
66	bfm_bfm272_difficulty4-5	bfm	bfm272	4	5
67	bfm_bfm274_difficulty3-1	bfm	bfm274	3	1
68	bfm_bfm274_difficulty3-2	bfm	bfm274	3	2
69	bfm_bfm274_difficulty3-5	bfm	bfm274	3	5
70	bfm_bfm274_difficulty4-3	bfm	bfm274	4	3
71	bfm_bfm274_difficulty4-4	bfm	bfm274	4	4
72	bfm_bfm277_difficulty3-2	bfm	bfm277	3	2
73	bfm_bfm277_difficulty3-4	bfm	bfm277	3	4
74	bfm_bfm277_difficulty4-1	bfm	bfm277	4	1
75	bfm_bfm277_difficulty4-3	bfm	bfm277	4	3
76	bfm_bfm277_difficulty4-5	bfm	bfm277	4	5
77	bfm_bfm282_difficulty3-4	bfm	bfm282	3	4
78	bfm_bfm282_difficulty4-1	bfm	bfm282	4	1
79	bfm_bfm282_difficulty4-2	bfm	bfm282	4	2
80	bfm_bfm282_difficulty4-3	bfm	bfm282	4	3
81	bfm_bfm282_difficulty4-5	bfm	bfm282	4	5
82	bfm_bfm285_difficulty4-1	bfm	bfm285	4	1
83	bfm_bfm285_difficulty4-2	bfm	bfm285	4	2
